,Time,FR,LWR
1368,2165.0,301.6,0.0
1380,2166.0,410.8,0.0
1392,2167.0,365.2,0.0
1404,2168.0,364.4,0.0
1416,2169.0,388.8,0.0
1428,2170.0,328.8,0.0
1440,2171.0,421.2,0.0
1452,2172.0,378.0,0.0
1464,2173.0,390.4,0.0
1476,2174.0,414.8,0.0
1488,2175.0,357.2,0.0
1500,2176.0,446.0,0.0
1512,2177.0,406.4,0.0
1524,2178.0,418.8,0.0
1536,2179.0,443.2,0.0
1548,2180.0,388.8,0.0
1560,2181.0,462.8,0.0
1572,2182.0,435.2,0.0
1584,2183.0,425.6,0.0
1596,2184.0,472.8,0.0
1608,2185.0,422.4,0.0
1620,2186.0,489.6,0.0
1632,2187.0,465.2,0.0
1644,2188.0,447.2,0.0
1656,2189.0,454.4,0.0
1668,2190.0,410.4,0.0
1680,2191.0,516.0,0.0
1692,2192.0,472.8,0.0
1704,2193.0,482.0,0.0
1716,2194.0,488.8,0.0
1728,2195.0,593.6,0.0
1740,2196.0,588.4,0.0
1752,2197.0,509.2,0.0
1764,2198.0,518.8,0.0
1776,2199.0,525.6,0.0
1788,2200.0,611.6,0.0
1800,2201.0,619.2,0.0
1812,2202.0,546.4,0.0
1824,2203.0,522.4,0.0
1836,2204.0,649.2,0.0
1848,2205.0,644.0,0.0
1860,2206.0,651.2,0.0
1872,2207.0,585.6,0.0
1884,2208.0,562.8,0.0
1896,2209.0,670.4,0.0
1908,2210.0,677.6,0.0
1920,2211.0,525.6,0.0
