,ExitTime,FR,LWR
189,1960.9166666666667,0.0,0.0
201,1961.9166666666667,0.0,0.0
213,1962.9166666666667,0.0,0.0
225,1963.9166666666667,0.0,0.0
237,1964.9166666666667,0.0,0.0
249,1965.9166666666667,0.0,0.0
261,1966.9166666666667,0.0,0.0
273,1967.9166666666667,0.0,0.0
285,1968.9166666666667,0.0,0.0
297,1969.9166666666667,0.0,0.0
309,1970.9166666666667,0.0,0.0
321,1971.9166666666667,0.0,0.0
333,1972.9166666666667,0.0,0.0
345,1973.9166666666667,0.0,0.0
357,1974.9166666666667,0.0,0.0
369,1975.9166666666667,0.0,0.0
381,1976.9166666666667,0.0,0.0
393,1977.9166666666667,0.0,0.0
405,1978.9166666666667,0.0,0.0
417,1979.9166666666667,0.0,0.0
429,1980.9166666666667,0.0,0.0
441,1981.9166666666667,0.0,0.0
453,1982.9166666666667,0.0,0.0
465,1983.9166666666667,0.0,0.0
477,1984.9166666666667,0.0,0.0
489,1985.9166666666667,0.0,0.0
501,1986.9166666666667,0.0,0.0
513,1987.9166666666667,0.0,0.0
525,1988.9166666666667,0.0,0.0
537,1989.9166666666667,0.0,0.0
549,1990.9166666666667,0.0,0.0
561,1991.9166666666667,0.0,0.0
573,1992.9166666666667,0.0,0.0
585,1993.9166666666667,0.0,0.0
597,1994.9166666666667,0.0,0.0
609,1995.9166666666667,0.0,0.0
621,1996.9166666666667,0.0,0.0
633,1997.9166666666667,0.0,0.0
645,1998.9166666666667,0.0,0.0
657,1999.9166666666667,0.0,0.0
669,2000.9166666666667,0.0,0.0
681,2001.9166666666667,0.0,0.0
693,2002.9166666666667,0.0,0.0
705,2003.9166666666667,0.0,0.0
717,2004.9166666666667,0.0,0.0
729,2005.9166666666667,0.0,0.0
741,2006.9166666666667,0.0,0.0
753,2007.9166666666667,0.0,0.0
765,2008.9166666666667,0.0,0.0
777,2009.9166666666667,0.0,0.0
789,2010.9166666666667,0.0,0.0
801,2011.9166666666667,0.0,0.0
813,2012.9166666666667,0.0,0.0
825,2013.9166666666667,0.0,0.0
837,2014.9166666666667,0.0,0.0
849,2015.9166666666667,0.0,0.0
861,2016.9166666666667,0.0,0.0
873,2017.9166666666667,0.0,0.0
885,2018.9166666666667,0.0,0.0
897,2019.9166666666667,0.0,0.0
909,2020.9166666666667,0.0,0.0
921,2021.9166666666667,0.0,0.0
933,2022.9166666666667,0.0,0.0
945,2023.9166666666667,0.0,0.0
957,2024.9166666666667,0.0,0.0
969,2025.9166666666667,0.0,0.0
981,2026.9166666666667,0.0,0.0
993,2027.9166666666667,0.0,0.0
1005,2028.9166666666667,0.0,0.0
1017,2029.9166666666667,0.0,0.0
1029,2030.9166666666667,0.0,0.0
1041,2031.9166666666667,0.0,0.0
1053,2032.9166666666667,0.0,0.0
1065,2033.9166666666667,0.0,0.0
1077,2034.9166666666667,0.0,0.0
1089,2035.9166666666667,0.0,0.0
1101,2036.9166666666667,0.0,0.0
1113,2037.9166666666667,0.0,0.0
1125,2038.9166666666667,0.0,0.0
1137,2039.9166666666667,0.0,0.0
1149,2040.9166666666667,0.0,0.0
1161,2041.9166666666667,0.0,0.0
1173,2042.9166666666667,0.0,0.0
1185,2043.9166666666667,0.0,0.0
1197,2044.9166666666667,0.0,0.0
1209,2045.9166666666667,0.0,0.0
0,2046.9166666666667,0.0,2.0
1,2047.9166666666667,0.0,2.0
2,2048.9166666666665,0.0,2.0
3,2049.9166666666665,0.0,2.0
4,2050.9166666666665,0.0,2.0
5,2051.9166666666665,0.0,2.0
6,2052.9166666666665,0.0,2.0
7,2053.9166666666665,0.0,2.0
8,2054.9166666666665,0.0,2.0
9,2055.9166666666665,0.0,2.0
10,2056.9166666666665,0.0,2.0
11,2057.9166666666665,0.0,2.0
12,2058.9166666666665,0.0,2.0
13,2059.9166666666665,0.0,2.0
14,2060.9166666666665,0.0,2.0
15,2061.9166666666665,0.0,2.0
16,2062.9166666666665,0.0,2.0
17,2063.9166666666665,0.0,2.0
18,2064.9166666666665,0.0,2.0
19,2065.9166666666665,0.0,2.0
20,2066.9166666666665,0.0,2.0
21,2067.9166666666665,0.0,2.0
22,2068.9166666666665,0.0,2.0
23,2069.9166666666665,0.0,2.0
24,2070.9166666666665,0.0,2.0
25,2071.9166666666665,0.0,2.0
26,2072.9166666666665,0.0,2.0
27,2073.9166666666665,0.0,2.0
28,2074.9166666666665,0.0,2.0
29,2075.9166666666665,0.0,2.0
30,2076.9166666666665,0.0,2.0
31,2077.9166666666665,0.0,2.0
32,2078.9166666666665,0.0,2.0
33,2079.9166666666665,0.0,2.0
34,2080.9166666666665,0.0,2.0
35,2081.9166666666665,0.0,2.0
36,2082.9166666666665,0.0,2.0
37,2083.9166666666665,0.0,2.0
38,2084.9166666666665,0.0,2.0
39,2085.9166666666665,0.0,2.0
40,2086.9166666666665,0.0,2.0
41,2087.9166666666665,0.0,2.0
42,2088.9166666666665,0.0,2.0
43,2089.9166666666665,0.0,2.0
1705,2090.9166666666665,0.0,0.0
1717,2091.9166666666665,0.0,0.0
1729,2092.9166666666665,0.0,0.0
1741,2093.9166666666665,0.0,0.0
1753,2094.9166666666665,0.0,0.0
44,2095.9166666666665,0.0,1.0
45,2096.9166666666665,0.0,1.0
46,2097.9166666666665,0.0,1.0
47,2098.9166666666665,0.0,1.0
48,2099.9166666666665,0.0,1.0
49,2100.9166666666665,0.0,1.0
50,2101.9166666666665,0.0,1.0
51,2102.9166666666665,0.0,1.0
52,2103.9166666666665,0.0,1.0
53,2104.9166666666665,0.0,1.0
54,2105.9166666666665,0.0,2.0
55,2106.9166666666665,0.0,1.0
56,2107.9166666666665,0.0,1.0
57,2108.9166666666665,0.0,1.0
58,2109.9166666666665,0.0,1.0
59,2110.9166666666665,0.0,4.0
60,2111.9166666666665,0.0,3.0
61,2112.9166666666665,0.0,5.0
62,2113.9166666666665,0.0,3.0
63,2114.9166666666665,0.0,4.0
