,ExitTime,FR,LWR
178,1960.0,0.0,0.0
190,1961.0,0.0,0.0
202,1962.0,0.0,0.0
214,1963.0,0.0,0.0
226,1964.0,0.0,0.0
238,1965.0,0.0,0.0
250,1966.0,0.0,0.0
262,1967.0,0.0,0.0
274,1968.0,0.0,0.0
286,1969.0,0.0,0.0
298,1970.0,0.0,0.0
310,1971.0,0.0,0.0
322,1972.0,0.0,0.0
334,1973.0,0.0,0.0
346,1974.0,0.0,0.0
358,1975.0,0.0,0.0
370,1976.0,0.0,0.0
382,1977.0,0.0,0.0
394,1978.0,0.0,0.0
406,1979.0,0.0,0.0
418,1980.0,0.0,0.0
430,1981.0,0.0,0.0
442,1982.0,0.0,0.0
454,1983.0,0.0,0.0
466,1984.0,0.0,0.0
478,1985.0,0.0,0.0
490,1986.0,0.0,0.0
502,1987.0,0.0,0.0
514,1988.0,0.0,0.0
526,1989.0,0.0,0.0
538,1990.0,0.0,0.0
550,1991.0,0.0,0.0
562,1992.0,0.0,0.0
574,1993.0,0.0,0.0
586,1994.0,0.0,0.0
598,1995.0,0.0,0.0
610,1996.0,0.0,0.0
622,1997.0,0.0,0.0
634,1998.0,0.0,0.0
646,1999.0,0.0,0.0
658,2000.0,0.0,0.0
670,2001.0,0.0,0.0
682,2002.0,0.0,0.0
694,2003.0,0.0,0.0
706,2004.0,0.0,0.0
718,2005.0,0.0,0.0
730,2006.0,0.0,0.0
742,2007.0,0.0,0.0
754,2008.0,0.0,0.0
766,2009.0,0.0,0.0
778,2010.0,0.0,0.0
790,2011.0,0.0,0.0
802,2012.0,0.0,0.0
814,2013.0,0.0,0.0
826,2014.0,0.0,0.0
838,2015.0,0.0,0.0
850,2016.0,0.0,0.0
862,2017.0,0.0,0.0
874,2018.0,0.0,0.0
886,2019.0,0.0,0.0
898,2020.0,0.0,0.0
910,2021.0,0.0,0.0
922,2022.0,0.0,0.0
934,2023.0,0.0,0.0
946,2024.0,0.0,0.0
958,2025.0,0.0,0.0
970,2026.0,0.0,0.0
982,2027.0,0.0,0.0
994,2028.0,0.0,0.0
1006,2029.0,0.0,0.0
1018,2030.0,0.0,0.0
1030,2031.0,0.0,0.0
1042,2032.0,0.0,0.0
1054,2033.0,0.0,0.0
1066,2034.0,0.0,0.0
1078,2035.0,0.0,0.0
1090,2036.0,0.0,0.0
1102,2037.0,0.0,0.0
1114,2038.0,0.0,0.0
1126,2039.0,0.0,0.0
1138,2040.0,0.0,0.0
1150,2041.0,0.0,0.0
1162,2042.0,0.0,0.0
1174,2043.0,0.0,0.0
1186,2044.0,0.0,0.0
1198,2045.0,0.0,0.0
1210,2046.0,0.0,0.0
1221,2047.0,0.0,0.0
1232,2048.0,0.0,0.0
1243,2049.0,0.0,0.0
1254,2050.0,0.0,0.0
1265,2051.0,0.0,0.0
1276,2052.0,0.0,0.0
1287,2053.0,0.0,0.0
1298,2054.0,0.0,0.0
1309,2055.0,0.0,0.0
1320,2056.0,0.0,0.0
1331,2057.0,0.0,0.0
1342,2058.0,0.0,0.0
1353,2059.0,0.0,0.0
1364,2060.0,0.0,0.0
1375,2061.0,0.0,0.0
1386,2062.0,0.0,0.0
1397,2063.0,0.0,0.0
1408,2064.0,0.0,0.0
1419,2065.0,0.0,0.0
1430,2066.0,0.0,0.0
1441,2067.0,0.0,0.0
1452,2068.0,0.0,0.0
1463,2069.0,0.0,0.0
1474,2070.0,0.0,0.0
1485,2071.0,0.0,0.0
1496,2072.0,0.0,0.0
1507,2073.0,0.0,0.0
1518,2074.0,0.0,0.0
1529,2075.0,0.0,0.0
1540,2076.0,0.0,0.0
1551,2077.0,0.0,0.0
1562,2078.0,0.0,0.0
1573,2079.0,0.0,0.0
1584,2080.0,0.0,0.0
1595,2081.0,0.0,0.0
1606,2082.0,0.0,0.0
1617,2083.0,0.0,0.0
1628,2084.0,0.0,0.0
1639,2085.0,0.0,0.0
1650,2086.0,0.0,0.0
1661,2087.0,0.0,0.0
1672,2088.0,0.0,0.0
1683,2089.0,0.0,0.0
1694,2090.0,0.0,0.0
1706,2091.0,0.0,0.0
1718,2092.0,0.0,0.0
1730,2093.0,0.0,0.0
1742,2094.0,0.0,0.0
1754,2095.0,0.0,0.0
1765,2096.0,0.0,0.0
1776,2097.0,0.0,0.0
1787,2098.0,0.0,0.0
1798,2099.0,0.0,0.0
1809,2100.0,0.0,0.0
1820,2101.0,0.0,0.0
1831,2102.0,0.0,0.0
1842,2103.0,0.0,0.0
1853,2104.0,0.0,0.0
1864,2105.0,0.0,0.0
1875,2106.0,0.0,0.0
1886,2107.0,0.0,0.0
1897,2108.0,0.0,0.0
1908,2109.0,0.0,0.0
1919,2110.0,0.0,0.0
1930,2111.0,0.0,0.0
1941,2112.0,0.0,0.0
1952,2113.0,0.0,0.0
1963,2114.0,0.0,0.0
1974,2115.0,0.0,0.0
1985,2116.0,0.0,0.0
1996,2117.0,0.0,0.0
2007,2118.0,0.0,0.0
2018,2119.0,0.0,0.0
2029,2120.0,0.0,0.0
2040,2121.0,0.0,0.0
2051,2122.0,0.0,0.0
2062,2123.0,0.0,0.0
2073,2124.0,0.0,0.0
2084,2125.0,0.0,0.0
2095,2126.0,0.0,0.0
2106,2127.0,0.0,0.0
2117,2128.0,0.0,0.0
2128,2129.0,0.0,0.0
2139,2130.0,0.0,0.0
2150,2131.0,0.0,0.0
2161,2132.0,0.0,0.0
2172,2133.0,0.0,0.0
2183,2134.0,0.0,0.0
2194,2135.0,0.0,0.0
2205,2136.0,0.0,0.0
2216,2137.0,0.0,0.0
2227,2138.0,0.0,0.0
2238,2139.0,0.0,0.0
2249,2140.0,0.0,0.0
2260,2141.0,0.0,0.0
2271,2142.0,0.0,0.0
2282,2143.0,0.0,0.0
2293,2144.0,0.0,0.0
2304,2145.0,0.0,0.0
2315,2146.0,0.0,0.0
2326,2147.0,0.0,0.0
2337,2148.0,0.0,0.0
2348,2149.0,0.0,0.0
99,2150.0,0.0,2.0
2369,2151.0,0.0,0.0
2380,2152.0,0.0,0.0
2391,2153.0,0.0,0.0
2402,2154.0,0.0,0.0
105,2155.0,1.6,0.0
107,2156.0,0.8,0.0
2433,2157.0,0.0,0.0
109,2158.0,1.6,0.0
2455,2159.0,0.0,0.0
2466,2160.0,0.0,0.0
2477,2161.0,0.0,0.0
2488,2162.0,0.0,0.0
114,2163.0,2.0,0.0
2510,2164.0,0.0,0.0
2521,2165.0,0.0,0.0
118,2166.0,1.2,0.0
2542,2167.0,0.0,0.0
121,2168.0,0.8,0.0
2563,2169.0,0.0,0.0
2574,2170.0,0.0,0.0
2585,2171.0,0.0,0.0
2596,2172.0,0.0,0.0
2607,2173.0,0.0,0.0
2618,2174.0,0.0,0.0
2629,2175.0,0.0,0.0
2640,2176.0,0.0,0.0
2651,2177.0,0.0,0.0
132,2178.0,2.4,0.0
2672,2179.0,0.0,0.0
2683,2180.0,0.0,0.0
2694,2181.0,0.0,0.0
2705,2182.0,0.0,0.0
2716,2183.0,0.0,0.0
2727,2184.0,0.0,0.0
140,2185.0,1.6,0.0
2748,2186.0,0.0,0.0
2759,2187.0,0.0,0.0
2770,2188.0,0.0,0.0
2781,2189.0,0.0,0.0
2792,2190.0,0.0,0.0
2803,2191.0,0.0,0.0
2814,2192.0,0.0,0.0
2825,2193.0,0.0,0.0
150,2194.0,4.0,0.0
